0.000000000000000000e+00,3.025856989358014504e-01,4.207354924039483079e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
5.000000000000000278e-02,3.030834355966839366e-01,4.343421754574459254e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
1.000000000000000056e-01,3.035810896021564620e-01,4.479461762224180160e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
1.500000000000000222e-01,3.040786474661094085e-01,4.615469424168752027e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
2.000000000000000111e-01,3.045760957034512884e-01,4.751439218160517092e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
2.500000000000000000e-01,3.050734208305119211e-01,4.887365622756240091e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
3.000000000000000444e-01,3.055706093654455002e-01,5.023243117549254511e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
3.500000000000000333e-01,3.060676478286334934e-01,5.159066183401572747e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
4.000000000000000222e-01,3.065645227430879305e-01,5.294829302675951171e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
4.500000000000000111e-01,3.070612206348540263e-01,5.430526959467885106e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
5.000000000000000000e-01,3.075577280334130803e-01,5.566153639837544825e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
5.500000000000000444e-01,3.080540314720853767e-01,5.701703832041629672e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
6.000000000000000888e-01,3.085501174884324183e-01,5.837172026765126420e-02,9.820128963961924917e-01,-1.906436613497673571e+00,8.124926961323850616e-01,-6.143604549664252179e-01
